title,publisher
 Alan Wake Remastered,Epic Games
 Alien: Isolation,SEGA EUR
 Arcade Archives ORDYNE,HAMSTER
 Arcade Archives PHELIOS,HAMSTER
 Arcade Archives TETRIS THE ABSOLUTE THE GRAND MASTER 2 PLUS,HAMSTER
 Arcade Archives TETRIS THE GRAND MASTER,HAMSTER
 Asphalt Legends Unite,Gameloft
 Dadish,Thomas K Young
 Dex,QubicGames
 Dust: An Elysian Tail,Humble Hearts
 Elderand,Graffiti Games
 Factorio,Wube Software
 Fall Guys,Epic Games
 Family Chess,RedDeer.Games
 Games Advent Calendar - 25 Days - 25 Surprises,Mindscape
 Godlike Burger,Daedalic Entertainment
 HARVESTELLA,SQUARE ENIX
 HITMAN 3 - Cloud Version,IO Interactive
 HOT WHEELS UNLEASHED,Milestone
 JUST DANCE 2019,Ubisoft
 Klondike Solitaire,Baltoro Minis
 Lovers in a Dangerous Spacetime,Asteroid Base
 Matchpoint - Tennis Championships,KalypsoMediaGroup
 Mega Man Legacy Collection,CAPCOM
 MotoGP21,Milestone
 My Brother Rabbit,Forever Entertainment
 Neptunia X SENRAN KAGURA: Ninja Wars,Idea Factory
 Noir Chronicles: City of Crime,Artifex Mundi
 Overcooked! All You Can Eat,Team17
 Pilot Sports,Z-Software
 Pocoyo Party,RECOTECHNOLOGY
 Port Royale 4,KalypsoMediaGroup
 Raiden IV×MIKADO remix,UFO Interactive
 Real Car Driving Simulator & Parking 2022 Games,PublishMe
 S.N.I.P.E.R. - Hunter Scope,Baltoro Games
 Saints Row IV: Re-Elected,PLAION
 SmileBASIC 4,SmileBoom
 Steven Universe: Save The Light,Cartoon Network Games
 Street Fighter 30th Anniversary Collection,CAPCOM
 Stumble Guys,Scopely
