title|publisher
Abyss Memory Fallen Angel and the Path of Magic|Byking
Beyond Enemy Lines - Remastered Edition|Polygon Art
Capcom Fighting Collection 2|CAPCOM
 Car Detailing Simulator|Ultimate Games
 Dadish|Thomas K Young
Dairoku: Agents of Sakuratani|Aksys Games
Everyday Today's MENU for EMIYA Family|Aniplex
 Genso Manege|PQube
Giana Sisters: Twisted Dreams - Owltimate Edition|HandyGames
Go Vacation|Nintendo
 Godlike Burger|Daedalic Entertainment
 Guardian Tales|Kong Studios
 Kero Blaster|PLAYSIM
 LAYTON'S MYSTERY JOURNEY: Katrielle and the Millionaires' Conspiracy - Deluxe Edition|LEVEL5
 LIMBO|Playdead
  MotoGP 21|Milestone
MotoGP 22|Milestone
MotoGP 23|Milestone
Nintendo Switch Sports|Nintendo
Norn9: Var Commons|Aksys Games
Pikmin 3 Deluxe|Nintendo
Redemption Reapers|Binary Haze Interactive
Retro Classix 2-in-1 Pack: Express Raider & Shootout|Golem Entertainment
 Retro Classix 2-in-1 Pack: Gate of Doom & Wizard Fire|Golem Entertainment
  Retro Classix 4in1 Pack: Sly Spy` Shootout, Wizard Fire & Super Real Darwin|Golem Entertainment
 S.N.I.P.E.R. - Hunter Scope|Baltoro Games
Skateboard Drifting with Maxwell Cat: The Game Simulator|GAMETOTOP.CC
Sportitions'24|FuriouSoftPhoenix
Street Fighter 30th Anniversary Collection|CAPCOM
Super Fowlst 2|Thomas K Young
Super Smash Bros. Ultimate|Nintendo
Tomb Raider I-III Remastered Starring Lara Croft|Aspyr
 Trials Rising Standard Edition|Ubisoft
